tinīqdūa,predicate,,___ finds ___; ___ discovers that ___ is at ___.
tishā,predicate,arrive,___ arrives at ___.
tishūe,predicate,stay,___ stays at ___.
tiq,predicate,tile,___ is a tile.
tiqshōai,predicate,butterfly,___ is a butterfly.
tia,predicate,behind,___ is behind ___.
tiaq,predicate,brown,___ is the colour brown.
tiaqrēo,predicate,brown,___ is of brown colour.
tio,statement prefix,how.much,statement prefix: how much; to what extent
tiopūi,predicate,how.many,___ are how many.
tioq,predicate,lock,___ is a lock.
tioqpōa,predicate,locked,___ is locked.
tie,predicate,cover,___ covers ___.
tiechūo,predicate,lid,___ is a lid/cover.
tieq,predicate,,___ is a way/path.
tiai,predicate,box,___ is a box.
tiao,predicate,match,___ matches/fits/suits ___ in property ___.
to,separator,,helper particle in forethought conjunctions: to + conj ___ to ___
toq,predicate,board,___ is a board.
toqfūa,predicate,table,___ is a table.
toa,predicate,word,___ is a word.
toagīu,predicate,line,___ is a line (of text).
toai,predicate,quantum,___ is a quantum / smallest possible unit of quantity or quantifiable phenomenon ___.
toaq,predicate,language,___ is a language.
toi,,,
te,predicate,cut,___ cuts ___ into ___.
techūo,predicate,knife,___ is a knife.
terā,predicate,tera,"___ are 10<sup>12</sup> (1,000,000,000,000) in number; ___ are a trillion."
teq,predicate,pay,___ pays ___ to ___ for satisfying property ___.
teqgūai,predicate,pay work,___ does payed work ___; ___ does ___ as a job.
tea,predicate,scared,___ is scared / experiences fear.
teaq,predicate,breast,___ is a breast.
teaqjīeq,predicate,nipple,___ is a nipple.
teaqnīai,predicate,mammal,___ is a mammal.
teaqrīai,predicate,bra,___ is a bra.
tei,predicate,form,___ is a form/shape; ___ is a form/shape of ___.
teo,end-quote,»,terminate full-text quote.
teoq,predicate,question,___ is a question.
teoqkūq,predicate,ask,___ asks question ___ to ___.
teoqmōi,predicate,doubt,___ doubts that ___ is the case.
